No of Trainings | Percentage0th training :=  Win Percent :70 | Draw Percent :30
1th training :=  Win Percent :100 | Draw Percent :0
2th training :=  Win Percent :80 | Draw Percent :20
3th training :=  Win Percent :80 | Draw Percent :0
4th training :=  Win Percent :90 | Draw Percent :10
5th training :=  Win Percent :90 | Draw Percent :10
6th training :=  Win Percent :70 | Draw Percent :20
7th training :=  Win Percent :80 | Draw Percent :10
8th training :=  Win Percent :80 | Draw Percent :10
9th training :=  Win Percent :80 | Draw Percent :20
10th training :=  Win Percent :80 | Draw Percent :10
11th training :=  Win Percent :80 | Draw Percent :20
12th training :=  Win Percent :80 | Draw Percent :10
13th training :=  Win Percent :60 | Draw Percent :30
14th training :=  Win Percent :70 | Draw Percent :30
15th training :=  Win Percent :90 | Draw Percent :10
16th training :=  Win Percent :100 | Draw Percent :0
17th training :=  Win Percent :60 | Draw Percent :30
18th training :=  Win Percent :70 | Draw Percent :30
19th training :=  Win Percent :90 | Draw Percent :10
20th training :=  Win Percent :80 | Draw Percent :20
21th training :=  Win Percent :90 | Draw Percent :0
22th training :=  Win Percent :60 | Draw Percent :30
23th training :=  Win Percent :60 | Draw Percent :40
24th training :=  Win Percent :100 | Draw Percent :0
25th training :=  Win Percent :90 | Draw Percent :0
26th training :=  Win Percent :90 | Draw Percent :10
27th training :=  Win Percent :90 | Draw Percent :0
28th training :=  Win Percent :80 | Draw Percent :10
29th training :=  Win Percent :90 | Draw Percent :10
30th training :=  Win Percent :100 | Draw Percent :0
31th training :=  Win Percent :80 | Draw Percent :20
32th training :=  Win Percent :80 | Draw Percent :20
33th training :=  Win Percent :100 | Draw Percent :0
34th training :=  Win Percent :60 | Draw Percent :40
35th training :=  Win Percent :80 | Draw Percent :20
36th training :=  Win Percent :90 | Draw Percent :10
37th training :=  Win Percent :100 | Draw Percent :0
38th training :=  Win Percent :80 | Draw Percent :20
39th training :=  Win Percent :80 | Draw Percent :10
40th training :=  Win Percent :70 | Draw Percent :30
41th training :=  Win Percent :90 | Draw Percent :10
42th training :=  Win Percent :90 | Draw Percent :10
43th training :=  Win Percent :80 | Draw Percent :20
44th training :=  Win Percent :100 | Draw Percent :0
45th training :=  Win Percent :90 | Draw Percent :0
46th training :=  Win Percent :100 | Draw Percent :0
47th training :=  Win Percent :90 | Draw Percent :0
48th training :=  Win Percent :80 | Draw Percent :20
49th training :=  Win Percent :90 | Draw Percent :10
50th training :=  Win Percent :100 | Draw Percent :0
51th training :=  Win Percent :80 | Draw Percent :10
52th training :=  Win Percent :90 | Draw Percent :0
53th training :=  Win Percent :90 | Draw Percent :0
54th training :=  Win Percent :90 | Draw Percent :0
55th training :=  Win Percent :90 | Draw Percent :0
56th training :=  Win Percent :100 | Draw Percent :0
57th training :=  Win Percent :90 | Draw Percent :10
58th training :=  Win Percent :90 | Draw Percent :10
59th training :=  Win Percent :80 | Draw Percent :20
60th training :=  Win Percent :100 | Draw Percent :0
61th training :=  Win Percent :80 | Draw Percent :20
62th training :=  Win Percent :100 | Draw Percent :0
63th training :=  Win Percent :100 | Draw Percent :0
64th training :=  Win Percent :100 | Draw Percent :0
65th training :=  Win Percent :80 | Draw Percent :10
66th training :=  Win Percent :90 | Draw Percent :10
67th training :=  Win Percent :80 | Draw Percent :20
68th training :=  Win Percent :100 | Draw Percent :0
69th training :=  Win Percent :90 | Draw Percent :10
70th training :=  Win Percent :100 | Draw Percent :0
71th training :=  Win Percent :90 | Draw Percent :10
72th training :=  Win Percent :90 | Draw Percent :10
73th training :=  Win Percent :80 | Draw Percent :10
74th training :=  Win Percent :60 | Draw Percent :30
75th training :=  Win Percent :80 | Draw Percent :10
76th training :=  Win Percent :90 | Draw Percent :10
77th training :=  Win Percent :100 | Draw Percent :0
78th training :=  Win Percent :90 | Draw Percent :10
79th training :=  Win Percent :90 | Draw Percent :0
80th training :=  Win Percent :100 | Draw Percent :0
81th training :=  Win Percent :100 | Draw Percent :0
82th training :=  Win Percent :80 | Draw Percent :10
83th training :=  Win Percent :80 | Draw Percent :10
84th training :=  Win Percent :80 | Draw Percent :20
85th training :=  Win Percent :90 | Draw Percent :0
86th training :=  Win Percent :100 | Draw Percent :0
