No of Trainings | Percentage0th training :=  Win Percent :85 | Draw Percent :8 | Lost Percent :7
1th training :=  Win Percent :83 | Draw Percent :9 | Lost Percent :8
2th training :=  Win Percent :82 | Draw Percent :11 | Lost Percent :7
3th training :=  Win Percent :79 | Draw Percent :11 | Lost Percent :10
4th training :=  Win Percent :88 | Draw Percent :7 | Lost Percent :5
5th training :=  Win Percent :88 | Draw Percent :10 | Lost Percent :2
6th training :=  Win Percent :86 | Draw Percent :7 | Lost Percent :7
7th training :=  Win Percent :75 | Draw Percent :18 | Lost Percent :7
8th training :=  Win Percent :84 | Draw Percent :9 | Lost Percent :7
9th training :=  Win Percent :83 | Draw Percent :12 | Lost Percent :5
10th training :=  Win Percent :81 | Draw Percent :12 | Lost Percent :7
11th training :=  Win Percent :76 | Draw Percent :18 | Lost Percent :6
12th training :=  Win Percent :77 | Draw Percent :18 | Lost Percent :5
13th training :=  Win Percent :74 | Draw Percent :18 | Lost Percent :8
14th training :=  Win Percent :78 | Draw Percent :19 | Lost Percent :3
15th training :=  Win Percent :81 | Draw Percent :13 | Lost Percent :6
16th training :=  Win Percent :75 | Draw Percent :15 | Lost Percent :10
17th training :=  Win Percent :81 | Draw Percent :11 | Lost Percent :8
18th training :=  Win Percent :87 | Draw Percent :8 | Lost Percent :5
19th training :=  Win Percent :83 | Draw Percent :13 | Lost Percent :4
20th training :=  Win Percent :79 | Draw Percent :12 | Lost Percent :9
21th training :=  Win Percent :91 | Draw Percent :2 | Lost Percent :7
22th training :=  Win Percent :89 | Draw Percent :6 | Lost Percent :5
23th training :=  Win Percent :88 | Draw Percent :11 | Lost Percent :1
24th training :=  Win Percent :89 | Draw Percent :6 | Lost Percent :5
25th training :=  Win Percent :85 | Draw Percent :10 | Lost Percent :5
26th training :=  Win Percent :86 | Draw Percent :10 | Lost Percent :4
27th training :=  Win Percent :92 | Draw Percent :6 | Lost Percent :2
28th training :=  Win Percent :89 | Draw Percent :9 | Lost Percent :2
29th training :=  Win Percent :84 | Draw Percent :13 | Lost Percent :3
30th training :=  Win Percent :90 | Draw Percent :8 | Lost Percent :2
31th training :=  Win Percent :85 | Draw Percent :10 | Lost Percent :5
32th training :=  Win Percent :93 | Draw Percent :5 | Lost Percent :2
33th training :=  Win Percent :92 | Draw Percent :6 | Lost Percent :2
34th training :=  Win Percent :92 | Draw Percent :6 | Lost Percent :2
35th training :=  Win Percent :90 | Draw Percent :7 | Lost Percent :3
36th training :=  Win Percent :92 | Draw Percent :6 | Lost Percent :2
37th training :=  Win Percent :93 | Draw Percent :5 | Lost Percent :2
38th training :=  Win Percent :90 | Draw Percent :8 | Lost Percent :2
39th training :=  Win Percent :90 | Draw Percent :8 | Lost Percent :2
40th training :=  Win Percent :89 | Draw Percent :8 | Lost Percent :3
41th training :=  Win Percent :88 | Draw Percent :7 | Lost Percent :5
42th training :=  Win Percent :90 | Draw Percent :7 | Lost Percent :3
43th training :=  Win Percent :89 | Draw Percent :7 | Lost Percent :4
44th training :=  Win Percent :83 | Draw Percent :14 | Lost Percent :3
45th training :=  Win Percent :91 | Draw Percent :6 | Lost Percent :3
46th training :=  Win Percent :87 | Draw Percent :9 | Lost Percent :4
47th training :=  Win Percent :93 | Draw Percent :5 | Lost Percent :2
48th training :=  Win Percent :93 | Draw Percent :4 | Lost Percent :3
49th training :=  Win Percent :88 | Draw Percent :8 | Lost Percent :4
50th training :=  Win Percent :90 | Draw Percent :8 | Lost Percent :2
51th training :=  Win Percent :88 | Draw Percent :9 | Lost Percent :3
52th training :=  Win Percent :94 | Draw Percent :5 | Lost Percent :1
53th training :=  Win Percent :94 | Draw Percent :3 | Lost Percent :3
54th training :=  Win Percent :84 | Draw Percent :8 | Lost Percent :8
55th training :=  Win Percent :91 | Draw Percent :7 | Lost Percent :2
56th training :=  Win Percent :90 | Draw Percent :7 | Lost Percent :3
57th training :=  Win Percent :95 | Draw Percent :3 | Lost Percent :2
58th training :=  Win Percent :94 | Draw Percent :4 | Lost Percent :2
59th training :=  Win Percent :92 | Draw Percent :5 | Lost Percent :3
60th training :=  Win Percent :92 | Draw Percent :8 | Lost Percent :0
61th training :=  Win Percent :93 | Draw Percent :6 | Lost Percent :1
