No of Trainings | Percentage0th training :=  Win Percent :81.4 | Draw Percent :12.2 | Lost Percent :6.4
1th training :=  Win Percent :81.4 | Draw Percent :11.2 | Lost Percent :7.4
2th training :=  Win Percent :82.5 | Draw Percent :11.4 | Lost Percent :6.1
3th training :=  Win Percent :82.7 | Draw Percent :11.4 | Lost Percent :5.9
4th training :=  Win Percent :79.7 | Draw Percent :13.3 | Lost Percent :7
5th training :=  Win Percent :74.4 | Draw Percent :18.6 | Lost Percent :7
6th training :=  Win Percent :76.6 | Draw Percent :16.2 | Lost Percent :7.2
7th training :=  Win Percent :76.3 | Draw Percent :16.1 | Lost Percent :7.6
8th training :=  Win Percent :80.6 | Draw Percent :12.9 | Lost Percent :6.5
9th training :=  Win Percent :82.2 | Draw Percent :11.6 | Lost Percent :6.2
10th training :=  Win Percent :83.5 | Draw Percent :11.7 | Lost Percent :4.8
11th training :=  Win Percent :83.6 | Draw Percent :11.9 | Lost Percent :4.5
12th training :=  Win Percent :81 | Draw Percent :13.3 | Lost Percent :5.7
13th training :=  Win Percent :81.6 | Draw Percent :12.2 | Lost Percent :6.2
14th training :=  Win Percent :83.5 | Draw Percent :10.9 | Lost Percent :5.6
15th training :=  Win Percent :78.6 | Draw Percent :14.7 | Lost Percent :6.7
16th training :=  Win Percent :80.5 | Draw Percent :13.3 | Lost Percent :6.2
17th training :=  Win Percent :82.1 | Draw Percent :11.6 | Lost Percent :6.3
18th training :=  Win Percent :83 | Draw Percent :12 | Lost Percent :5
19th training :=  Win Percent :82.1 | Draw Percent :12 | Lost Percent :5.9
20th training :=  Win Percent :80.1 | Draw Percent :14.5 | Lost Percent :5.4
21th training :=  Win Percent :81.1 | Draw Percent :12.7 | Lost Percent :6.2
22th training :=  Win Percent :78.6 | Draw Percent :14.6 | Lost Percent :6.8
23th training :=  Win Percent :81.9 | Draw Percent :11.9 | Lost Percent :6.2
24th training :=  Win Percent :79.1 | Draw Percent :14.2 | Lost Percent :6.7
25th training :=  Win Percent :82.5 | Draw Percent :11.3 | Lost Percent :6.2
26th training :=  Win Percent :81.2 | Draw Percent :12 | Lost Percent :6.8
27th training :=  Win Percent :80.8 | Draw Percent :12.4 | Lost Percent :6.8
28th training :=  Win Percent :85.3 | Draw Percent :9.7 | Lost Percent :5
29th training :=  Win Percent :86.1 | Draw Percent :10.5 | Lost Percent :3.4
30th training :=  Win Percent :82.4 | Draw Percent :10.8 | Lost Percent :6.8
31th training :=  Win Percent :82.2 | Draw Percent :10.9 | Lost Percent :6.9
32th training :=  Win Percent :83.5 | Draw Percent :9.1 | Lost Percent :7.4
33th training :=  Win Percent :83 | Draw Percent :9.6 | Lost Percent :7.4
34th training :=  Win Percent :83.3 | Draw Percent :10.4 | Lost Percent :6.3
35th training :=  Win Percent :82.8 | Draw Percent :11.3 | Lost Percent :5.9
36th training :=  Win Percent :84.7 | Draw Percent :9.6 | Lost Percent :5.7
37th training :=  Win Percent :84 | Draw Percent :9.9 | Lost Percent :6.1
38th training :=  Win Percent :86.5 | Draw Percent :6.6 | Lost Percent :6.9
39th training :=  Win Percent :85.3 | Draw Percent :9.5 | Lost Percent :5.2
40th training :=  Win Percent :87.7 | Draw Percent :7.9 | Lost Percent :4.4
41th training :=  Win Percent :86.1 | Draw Percent :7.4 | Lost Percent :6.5
42th training :=  Win Percent :86.5 | Draw Percent :7.5 | Lost Percent :6
43th training :=  Win Percent :87 | Draw Percent :6.9 | Lost Percent :6.1
44th training :=  Win Percent :87 | Draw Percent :8.1 | Lost Percent :4.9
45th training :=  Win Percent :87 | Draw Percent :8.1 | Lost Percent :4.9
46th training :=  Win Percent :88 | Draw Percent :6.1 | Lost Percent :5.9
47th training :=  Win Percent :86.1 | Draw Percent :8.5 | Lost Percent :5.4
48th training :=  Win Percent :90.6 | Draw Percent :4 | Lost Percent :5.4
49th training :=  Win Percent :92 | Draw Percent :5 | Lost Percent :3
50th training :=  Win Percent :91 | Draw Percent :5.1 | Lost Percent :3.9
51th training :=  Win Percent :91.5 | Draw Percent :4.4 | Lost Percent :4.1
52th training :=  Win Percent :89.1 | Draw Percent :5.7 | Lost Percent :5.2
53th training :=  Win Percent :90.4 | Draw Percent :4.9 | Lost Percent :4.7
54th training :=  Win Percent :92.3 | Draw Percent :3.6 | Lost Percent :4.1
55th training :=  Win Percent :91.9 | Draw Percent :4.3 | Lost Percent :3.8
56th training :=  Win Percent :91.5 | Draw Percent :4.9 | Lost Percent :3.6
