No of Trainings | Percentage0th training :=  Win Percent :81.8 | Draw Percent :10.6 | Lost Percent :7.6
1th training :=  Win Percent :81.5 | Draw Percent :12.4 | Lost Percent :6.1
2th training :=  Win Percent :83.1 | Draw Percent :10.3 | Lost Percent :6.6
3th training :=  Win Percent :81.9 | Draw Percent :11.2 | Lost Percent :6.9
4th training :=  Win Percent :84.3 | Draw Percent :10.4 | Lost Percent :5.3
5th training :=  Win Percent :81.2 | Draw Percent :11.2 | Lost Percent :7.6
6th training :=  Win Percent :80.9 | Draw Percent :11.8 | Lost Percent :7.3
7th training :=  Win Percent :83.3 | Draw Percent :10.9 | Lost Percent :5.8
8th training :=  Win Percent :84.4 | Draw Percent :10.4 | Lost Percent :5.2
9th training :=  Win Percent :83.2 | Draw Percent :10.8 | Lost Percent :6
10th training :=  Win Percent :81.8 | Draw Percent :11 | Lost Percent :7.2
11th training :=  Win Percent :82.5 | Draw Percent :11.7 | Lost Percent :5.8
12th training :=  Win Percent :83.3 | Draw Percent :10.3 | Lost Percent :6.4
13th training :=  Win Percent :79.4 | Draw Percent :13.7 | Lost Percent :6.9
14th training :=  Win Percent :80.6 | Draw Percent :13 | Lost Percent :6.4
15th training :=  Win Percent :78.9 | Draw Percent :15.3 | Lost Percent :5.8
16th training :=  Win Percent :79.4 | Draw Percent :14.9 | Lost Percent :5.7
17th training :=  Win Percent :78.2 | Draw Percent :15.8 | Lost Percent :6
18th training :=  Win Percent :81 | Draw Percent :12.1 | Lost Percent :6.9
19th training :=  Win Percent :78.7 | Draw Percent :14.8 | Lost Percent :6.5
20th training :=  Win Percent :83.1 | Draw Percent :11 | Lost Percent :5.9
21th training :=  Win Percent :81.5 | Draw Percent :11.5 | Lost Percent :7
22th training :=  Win Percent :84.8 | Draw Percent :10.5 | Lost Percent :4.7
23th training :=  Win Percent :85.3 | Draw Percent :9 | Lost Percent :5.7
24th training :=  Win Percent :83 | Draw Percent :10.4 | Lost Percent :6.6
25th training :=  Win Percent :84.9 | Draw Percent :9.4 | Lost Percent :5.7
