No of Trainings | Percentage0th training :=  Win Percent :21.9 | Draw Percent :13.3 | Lost Percent :64.8
1th training :=  Win Percent :19.4 | Draw Percent :15.4 | Lost Percent :65.2
2th training :=  Win Percent :20.4 | Draw Percent :13.2 | Lost Percent :66.4
3th training :=  Win Percent :21.6 | Draw Percent :15.2 | Lost Percent :63.2
4th training :=  Win Percent :23.7 | Draw Percent :14.8 | Lost Percent :61.5
5th training :=  Win Percent :22.7 | Draw Percent :14.3 | Lost Percent :63
6th training :=  Win Percent :22.4 | Draw Percent :14.2 | Lost Percent :63.4
7th training :=  Win Percent :21.5 | Draw Percent :12.6 | Lost Percent :65.9
8th training :=  Win Percent :23.9 | Draw Percent :14.6 | Lost Percent :61.5
9th training :=  Win Percent :23.6 | Draw Percent :13.3 | Lost Percent :63.1
10th training :=  Win Percent :23.2 | Draw Percent :14.6 | Lost Percent :62.2
11th training :=  Win Percent :23.7 | Draw Percent :15.3 | Lost Percent :61
12th training :=  Win Percent :22.8 | Draw Percent :13.5 | Lost Percent :63.7
13th training :=  Win Percent :24.9 | Draw Percent :12.6 | Lost Percent :62.5
14th training :=  Win Percent :22.4 | Draw Percent :14.7 | Lost Percent :62.9
15th training :=  Win Percent :22.7 | Draw Percent :12.9 | Lost Percent :64.4
16th training :=  Win Percent :20.4 | Draw Percent :14.7 | Lost Percent :64.9
17th training :=  Win Percent :20.3 | Draw Percent :14.3 | Lost Percent :65.4
18th training :=  Win Percent :21.7 | Draw Percent :14.6 | Lost Percent :63.7
19th training :=  Win Percent :22.1 | Draw Percent :12.3 | Lost Percent :65.6
20th training :=  Win Percent :20.5 | Draw Percent :14.6 | Lost Percent :64.9
21th training :=  Win Percent :23 | Draw Percent :13.9 | Lost Percent :63.1
22th training :=  Win Percent :23.1 | Draw Percent :15 | Lost Percent :61.9
23th training :=  Win Percent :19.4 | Draw Percent :16.3 | Lost Percent :64.3
24th training :=  Win Percent :22.7 | Draw Percent :15.6 | Lost Percent :61.7
25th training :=  Win Percent :24.2 | Draw Percent :16.1 | Lost Percent :59.7
26th training :=  Win Percent :23.5 | Draw Percent :13.8 | Lost Percent :62.7
27th training :=  Win Percent :23 | Draw Percent :13 | Lost Percent :64
28th training :=  Win Percent :21.4 | Draw Percent :15.1 | Lost Percent :63.5
29th training :=  Win Percent :23.2 | Draw Percent :13.3 | Lost Percent :63.5
30th training :=  Win Percent :21.2 | Draw Percent :15.2 | Lost Percent :63.6
31th training :=  Win Percent :23.5 | Draw Percent :11.1 | Lost Percent :65.4
32th training :=  Win Percent :22.5 | Draw Percent :14.1 | Lost Percent :63.4
33th training :=  Win Percent :21.1 | Draw Percent :14.5 | Lost Percent :64.4
34th training :=  Win Percent :23.1 | Draw Percent :12.6 | Lost Percent :64.3
35th training :=  Win Percent :21.9 | Draw Percent :14.6 | Lost Percent :63.5
36th training :=  Win Percent :21.9 | Draw Percent :15 | Lost Percent :63.1
37th training :=  Win Percent :22.6 | Draw Percent :15.6 | Lost Percent :61.8
38th training :=  Win Percent :21.6 | Draw Percent :12.8 | Lost Percent :65.6
39th training :=  Win Percent :22.9 | Draw Percent :13.3 | Lost Percent :63.8
40th training :=  Win Percent :21.7 | Draw Percent :15 | Lost Percent :63.3
41th training :=  Win Percent :21.2 | Draw Percent :15.2 | Lost Percent :63.6
42th training :=  Win Percent :21.8 | Draw Percent :13.9 | Lost Percent :64.3
43th training :=  Win Percent :21.9 | Draw Percent :17.1 | Lost Percent :61
44th training :=  Win Percent :22.5 | Draw Percent :13.7 | Lost Percent :63.8
45th training :=  Win Percent :22.9 | Draw Percent :14.1 | Lost Percent :63
46th training :=  Win Percent :19.4 | Draw Percent :15.6 | Lost Percent :65
47th training :=  Win Percent :21 | Draw Percent :12.9 | Lost Percent :66.1
48th training :=  Win Percent :25.4 | Draw Percent :14 | Lost Percent :60.6
49th training :=  Win Percent :25.1 | Draw Percent :13.6 | Lost Percent :61.3
50th training :=  Win Percent :21.6 | Draw Percent :12.9 | Lost Percent :65.5
51th training :=  Win Percent :24.7 | Draw Percent :14.5 | Lost Percent :60.8
52th training :=  Win Percent :24.3 | Draw Percent :13.9 | Lost Percent :61.8
53th training :=  Win Percent :22.9 | Draw Percent :14 | Lost Percent :63.1
54th training :=  Win Percent :23.5 | Draw Percent :13.8 | Lost Percent :62.7
55th training :=  Win Percent :25 | Draw Percent :15.8 | Lost Percent :59.2
56th training :=  Win Percent :22.9 | Draw Percent :13.1 | Lost Percent :64
57th training :=  Win Percent :23.2 | Draw Percent :12.7 | Lost Percent :64.1
58th training :=  Win Percent :22.2 | Draw Percent :13.9 | Lost Percent :63.9
59th training :=  Win Percent :23.1 | Draw Percent :15.1 | Lost Percent :61.8
60th training :=  Win Percent :23.7 | Draw Percent :14.5 | Lost Percent :61.8
61th training :=  Win Percent :20.2 | Draw Percent :15.5 | Lost Percent :64.3
62th training :=  Win Percent :25.1 | Draw Percent :15.7 | Lost Percent :59.2
63th training :=  Win Percent :23.9 | Draw Percent :13.4 | Lost Percent :62.7
64th training :=  Win Percent :22.2 | Draw Percent :12.7 | Lost Percent :65.1
65th training :=  Win Percent :21.2 | Draw Percent :16.2 | Lost Percent :62.6
66th training :=  Win Percent :23.9 | Draw Percent :15.1 | Lost Percent :61
67th training :=  Win Percent :22.7 | Draw Percent :15.2 | Lost Percent :62.1
68th training :=  Win Percent :22.1 | Draw Percent :15.1 | Lost Percent :62.8
69th training :=  Win Percent :24.6 | Draw Percent :13.3 | Lost Percent :62.1
70th training :=  Win Percent :24.4 | Draw Percent :14 | Lost Percent :61.6
71th training :=  Win Percent :20.4 | Draw Percent :15.4 | Lost Percent :64.2
72th training :=  Win Percent :22 | Draw Percent :15.2 | Lost Percent :62.8
73th training :=  Win Percent :21.8 | Draw Percent :14.6 | Lost Percent :63.6
74th training :=  Win Percent :22.7 | Draw Percent :15.9 | Lost Percent :61.4
75th training :=  Win Percent :22.1 | Draw Percent :15.8 | Lost Percent :62.1
76th training :=  Win Percent :23.1 | Draw Percent :13.8 | Lost Percent :63.1
77th training :=  Win Percent :22.1 | Draw Percent :13.6 | Lost Percent :64.3
78th training :=  Win Percent :22.8 | Draw Percent :13.7 | Lost Percent :63.5
79th training :=  Win Percent :22.2 | Draw Percent :16.6 | Lost Percent :61.2
80th training :=  Win Percent :22.5 | Draw Percent :14.3 | Lost Percent :63.2
81th training :=  Win Percent :21.7 | Draw Percent :14 | Lost Percent :64.3
82th training :=  Win Percent :23.5 | Draw Percent :14.7 | Lost Percent :61.8
83th training :=  Win Percent :24.6 | Draw Percent :15.3 | Lost Percent :60.1
84th training :=  Win Percent :22.7 | Draw Percent :15.1 | Lost Percent :62.2
85th training :=  Win Percent :22.9 | Draw Percent :14.5 | Lost Percent :62.6
86th training :=  Win Percent :21.3 | Draw Percent :15.4 | Lost Percent :63.3
87th training :=  Win Percent :24.4 | Draw Percent :14.6 | Lost Percent :61
88th training :=  Win Percent :22.6 | Draw Percent :14.6 | Lost Percent :62.8
89th training :=  Win Percent :22.1 | Draw Percent :14.7 | Lost Percent :63.2
90th training :=  Win Percent :23.9 | Draw Percent :11.3 | Lost Percent :64.8
91th training :=  Win Percent :23 | Draw Percent :13.8 | Lost Percent :63.2
92th training :=  Win Percent :23.4 | Draw Percent :14.6 | Lost Percent :62
93th training :=  Win Percent :22.9 | Draw Percent :15.6 | Lost Percent :61.5
94th training :=  Win Percent :23 | Draw Percent :16.2 | Lost Percent :60.8
95th training :=  Win Percent :23.5 | Draw Percent :13.8 | Lost Percent :62.7
96th training :=  Win Percent :21.4 | Draw Percent :14.7 | Lost Percent :63.9
97th training :=  Win Percent :24.2 | Draw Percent :15.4 | Lost Percent :60.4
98th training :=  Win Percent :22.9 | Draw Percent :15 | Lost Percent :62.1
99th training :=  Win Percent :23.9 | Draw Percent :13.9 | Lost Percent :62.2
100th training :=  Win Percent :23.4 | Draw Percent :14 | Lost Percent :62.6
101th training :=  Win Percent :21 | Draw Percent :14.1 | Lost Percent :64.9
102th training :=  Win Percent :21.6 | Draw Percent :13.5 | Lost Percent :64.9
103th training :=  Win Percent :24.8 | Draw Percent :12.2 | Lost Percent :63
104th training :=  Win Percent :22.1 | Draw Percent :14.7 | Lost Percent :63.2
105th training :=  Win Percent :20.5 | Draw Percent :12.6 | Lost Percent :66.9
106th training :=  Win Percent :23 | Draw Percent :14.2 | Lost Percent :62.8
107th training :=  Win Percent :23 | Draw Percent :15.2 | Lost Percent :61.8
108th training :=  Win Percent :23.1 | Draw Percent :13.1 | Lost Percent :63.8
109th training :=  Win Percent :23.5 | Draw Percent :14.5 | Lost Percent :62
110th training :=  Win Percent :22.1 | Draw Percent :15.9 | Lost Percent :62
111th training :=  Win Percent :21.6 | Draw Percent :14.3 | Lost Percent :64.1
112th training :=  Win Percent :23.2 | Draw Percent :13.8 | Lost Percent :63
113th training :=  Win Percent :21.1 | Draw Percent :14.6 | Lost Percent :64.3
114th training :=  Win Percent :23.9 | Draw Percent :15.7 | Lost Percent :60.4
115th training :=  Win Percent :22.3 | Draw Percent :14.1 | Lost Percent :63.6
116th training :=  Win Percent :23.4 | Draw Percent :15.1 | Lost Percent :61.5
117th training :=  Win Percent :23.1 | Draw Percent :13 | Lost Percent :63.9
118th training :=  Win Percent :21.6 | Draw Percent :16.2 | Lost Percent :62.2
119th training :=  Win Percent :23.6 | Draw Percent :16.2 | Lost Percent :60.2
120th training :=  Win Percent :22.2 | Draw Percent :14 | Lost Percent :63.8
121th training :=  Win Percent :20.1 | Draw Percent :14.3 | Lost Percent :65.6
122th training :=  Win Percent :23.7 | Draw Percent :15.5 | Lost Percent :60.8
123th training :=  Win Percent :23.8 | Draw Percent :15.8 | Lost Percent :60.4
124th training :=  Win Percent :23.6 | Draw Percent :14.2 | Lost Percent :62.2
125th training :=  Win Percent :26 | Draw Percent :12.9 | Lost Percent :61.1
