No of Trainings | Percentage0th training :=  Win Percent :23 | Draw Percent :12 | Lost Percent :65
1th training :=  Win Percent :20 | Draw Percent :11 | Lost Percent :69
2th training :=  Win Percent :27 | Draw Percent :9 | Lost Percent :64
3th training :=  Win Percent :21 | Draw Percent :17 | Lost Percent :62
4th training :=  Win Percent :18 | Draw Percent :19 | Lost Percent :63
5th training :=  Win Percent :21 | Draw Percent :15 | Lost Percent :64
6th training :=  Win Percent :23 | Draw Percent :13 | Lost Percent :64
7th training :=  Win Percent :24 | Draw Percent :8 | Lost Percent :68
8th training :=  Win Percent :20 | Draw Percent :17 | Lost Percent :63
9th training :=  Win Percent :22 | Draw Percent :12 | Lost Percent :66
10th training :=  Win Percent :19 | Draw Percent :15 | Lost Percent :66
11th training :=  Win Percent :17 | Draw Percent :10 | Lost Percent :73
12th training :=  Win Percent :22 | Draw Percent :13 | Lost Percent :65
13th training :=  Win Percent :15 | Draw Percent :18 | Lost Percent :67
14th training :=  Win Percent :16 | Draw Percent :15 | Lost Percent :69
15th training :=  Win Percent :14 | Draw Percent :26 | Lost Percent :60
16th training :=  Win Percent :22 | Draw Percent :16 | Lost Percent :62
17th training :=  Win Percent :19 | Draw Percent :18 | Lost Percent :63
18th training :=  Win Percent :22 | Draw Percent :12 | Lost Percent :66
19th training :=  Win Percent :19 | Draw Percent :15 | Lost Percent :66
20th training :=  Win Percent :19 | Draw Percent :10 | Lost Percent :71
21th training :=  Win Percent :25 | Draw Percent :9 | Lost Percent :66
22th training :=  Win Percent :24 | Draw Percent :15 | Lost Percent :61
23th training :=  Win Percent :17 | Draw Percent :14 | Lost Percent :69
24th training :=  Win Percent :19 | Draw Percent :14 | Lost Percent :67
25th training :=  Win Percent :19 | Draw Percent :16 | Lost Percent :65
26th training :=  Win Percent :26 | Draw Percent :12 | Lost Percent :62
27th training :=  Win Percent :19 | Draw Percent :22 | Lost Percent :59
28th training :=  Win Percent :22 | Draw Percent :6 | Lost Percent :72
29th training :=  Win Percent :19 | Draw Percent :14 | Lost Percent :67
30th training :=  Win Percent :21 | Draw Percent :14 | Lost Percent :65
31th training :=  Win Percent :25 | Draw Percent :17 | Lost Percent :58
32th training :=  Win Percent :23 | Draw Percent :13 | Lost Percent :64
33th training :=  Win Percent :22 | Draw Percent :15 | Lost Percent :63
34th training :=  Win Percent :17 | Draw Percent :10 | Lost Percent :73
35th training :=  Win Percent :26 | Draw Percent :14 | Lost Percent :60
36th training :=  Win Percent :21 | Draw Percent :21 | Lost Percent :58
37th training :=  Win Percent :19 | Draw Percent :12 | Lost Percent :69
38th training :=  Win Percent :19 | Draw Percent :20 | Lost Percent :61
39th training :=  Win Percent :16 | Draw Percent :17 | Lost Percent :67
40th training :=  Win Percent :21 | Draw Percent :18 | Lost Percent :61
41th training :=  Win Percent :26 | Draw Percent :19 | Lost Percent :55
42th training :=  Win Percent :26 | Draw Percent :14 | Lost Percent :60
43th training :=  Win Percent :19 | Draw Percent :14 | Lost Percent :67
44th training :=  Win Percent :28 | Draw Percent :11 | Lost Percent :61
45th training :=  Win Percent :24 | Draw Percent :15 | Lost Percent :61
46th training :=  Win Percent :29 | Draw Percent :11 | Lost Percent :60
47th training :=  Win Percent :22 | Draw Percent :14 | Lost Percent :64
48th training :=  Win Percent :24 | Draw Percent :11 | Lost Percent :65
49th training :=  Win Percent :19 | Draw Percent :14 | Lost Percent :67
50th training :=  Win Percent :17 | Draw Percent :17 | Lost Percent :66
51th training :=  Win Percent :24 | Draw Percent :13 | Lost Percent :63
52th training :=  Win Percent :25 | Draw Percent :18 | Lost Percent :57
53th training :=  Win Percent :25 | Draw Percent :10 | Lost Percent :65
54th training :=  Win Percent :17 | Draw Percent :11 | Lost Percent :72
55th training :=  Win Percent :25 | Draw Percent :13 | Lost Percent :62
56th training :=  Win Percent :25 | Draw Percent :19 | Lost Percent :56
57th training :=  Win Percent :24 | Draw Percent :19 | Lost Percent :57
58th training :=  Win Percent :23 | Draw Percent :10 | Lost Percent :67
59th training :=  Win Percent :23 | Draw Percent :8 | Lost Percent :69
60th training :=  Win Percent :21 | Draw Percent :11 | Lost Percent :68
61th training :=  Win Percent :20 | Draw Percent :18 | Lost Percent :62
62th training :=  Win Percent :19 | Draw Percent :18 | Lost Percent :63
63th training :=  Win Percent :24 | Draw Percent :20 | Lost Percent :56
64th training :=  Win Percent :24 | Draw Percent :9 | Lost Percent :67
65th training :=  Win Percent :23 | Draw Percent :12 | Lost Percent :65
66th training :=  Win Percent :21 | Draw Percent :14 | Lost Percent :65
67th training :=  Win Percent :18 | Draw Percent :19 | Lost Percent :63
68th training :=  Win Percent :32 | Draw Percent :10 | Lost Percent :58
69th training :=  Win Percent :23 | Draw Percent :16 | Lost Percent :61
70th training :=  Win Percent :24 | Draw Percent :15 | Lost Percent :61
71th training :=  Win Percent :20 | Draw Percent :10 | Lost Percent :70
72th training :=  Win Percent :16 | Draw Percent :14 | Lost Percent :70
73th training :=  Win Percent :18 | Draw Percent :16 | Lost Percent :66
74th training :=  Win Percent :17 | Draw Percent :10 | Lost Percent :73
75th training :=  Win Percent :26 | Draw Percent :15 | Lost Percent :59
76th training :=  Win Percent :26 | Draw Percent :11 | Lost Percent :63
77th training :=  Win Percent :19 | Draw Percent :12 | Lost Percent :69
78th training :=  Win Percent :26 | Draw Percent :12 | Lost Percent :62
79th training :=  Win Percent :26 | Draw Percent :14 | Lost Percent :60
80th training :=  Win Percent :32 | Draw Percent :14 | Lost Percent :54
81th training :=  Win Percent :25 | Draw Percent :21 | Lost Percent :54
82th training :=  Win Percent :21 | Draw Percent :19 | Lost Percent :60
83th training :=  Win Percent :21 | Draw Percent :14 | Lost Percent :65
84th training :=  Win Percent :19 | Draw Percent :9 | Lost Percent :72
85th training :=  Win Percent :16 | Draw Percent :16 | Lost Percent :68
86th training :=  Win Percent :29 | Draw Percent :11 | Lost Percent :60
87th training :=  Win Percent :24 | Draw Percent :15 | Lost Percent :61
88th training :=  Win Percent :25 | Draw Percent :15 | Lost Percent :60
89th training :=  Win Percent :19 | Draw Percent :13 | Lost Percent :68
90th training :=  Win Percent :18 | Draw Percent :14 | Lost Percent :68
91th training :=  Win Percent :24 | Draw Percent :9 | Lost Percent :67
92th training :=  Win Percent :26 | Draw Percent :11 | Lost Percent :63
93th training :=  Win Percent :22 | Draw Percent :19 | Lost Percent :59
94th training :=  Win Percent :20 | Draw Percent :17 | Lost Percent :63
95th training :=  Win Percent :21 | Draw Percent :15 | Lost Percent :64
96th training :=  Win Percent :29 | Draw Percent :10 | Lost Percent :61
97th training :=  Win Percent :33 | Draw Percent :12 | Lost Percent :55
98th training :=  Win Percent :25 | Draw Percent :12 | Lost Percent :63
99th training :=  Win Percent :20 | Draw Percent :16 | Lost Percent :64
